,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,
0,300,0,0,0,0,300,0,0,0,0,600
1,0,300,0,300,0,0,0,0,0,0,600
2,300,0,0,0,0,0,0,300,0,0,600
3,0,0,0,0,0,0,300,0,0,300,600
4,0,0,600,0,0,0,0,0,0,0,600
5,0,0,0,0,300,0,300,0,0,0,600
6,0,0,0,0,300,0,0,0,300,0,600
7,0,0,0,0,300,0,300,0,0,0,600
8,0,0,0,0,0,300,0,300,0,0,600
9,300,0,0,0,0,0,0,300,0,0,600
10,0,300,0,0,300,0,0,0,0,0,600
11,0,0,300,0,0,0,300,0,0,0,600
12,0,0,0,0,300,0,0,0,300,0,600
13,300,0,0,300,0,0,0,0,0,0,600
14,0,0,0,300,0,300,0,0,0,0,600
15,300,0,0,300,0,0,0,0,0,0,600
16,300,0,0,300,0,0,0,0,0,0,600
17,0,0,300,0,0,0,0,0,300,0,600
18,0,0,0,0,0,0,300,0,0,300,600
19,300,0,0,0,0,0,0,0,300,0,600
20,300,0,0,300,0,0,0,0,0,0,600
21,0,0,0,0,300,0,0,300,0,0,600
22,0,0,0,0,0,300,0,0,0,300,600
23,0,0,0,0,600,0,0,0,0,0,600
24,0,0,300,0,0,300,0,0,0,0,600
25,300,0,0,0,0,0,0,0,300,0,600
26,300,0,0,0,0,0,0,300,0,0,600
27,0,300,0,0,0,0,0,300,0,0,600
28,0,0,300,0,0,0,300,0,0,0,600
29,0,0,300,300,0,0,0,0,0,0,600
30,0,0,0,300,0,0,300,0,0,0,600
31,0,0,0,0,0,0,0,300,0,300,600
32,0,0,0,0,600,0,0,0,0,0,600
33,0,0,0,0,0,300,0,0,300,0,600
34,0,0,0,0,300,0,0,300,0,0,600
35,0,0,0,0,300,0,300,0,0,0,600
36,0,300,0,300,0,0,0,0,0,0,600
37,0,0,300,0,0,0,300,0,0,0,600
38,0,0,0,300,0,0,300,0,0,0,600
39,0,0,0,0,0,0,0,0,300,300,600
40,0,0,0,0,0,300,0,300,0,0,600
41,0,0,0,0,0,0,300,0,0,300,600
42,300,0,0,300,0,0,0,0,0,0,600
43,0,300,0,0,0,300,0,0,0,0,600
44,300,0,0,0,0,0,0,0,0,300,600
45,0,0,0,300,0,0,0,0,300,0,600
46,0,0,300,0,0,0,0,0,300,0,600
47,0,300,0,0,0,0,0,300,0,0,600
48,0,0,0,300,0,0,300,0,0,0,600
49,300,0,0,0,300,0,0,0,0,0,600
50,0,300,0,0,0,0,300,0,0,0,600
51,0,0,0,0,0,0,0,0,300,300,600
52,300,0,0,0,0,0,300,0,0,0,600
53,0,300,300,0,0,0,0,0,0,0,600
54,0,0,0,0,300,0,0,300,0,0,600
55,0,0,0,0,0,0,300,0,0,300,600
56,300,0,0,0,0,0,0,0,0,300,600
57,0,0,0,0,0,0,0,0,300,300,600
58,0,0,0,0,300,300,0,0,0,0,600
59,0,300,0,0,0,0,300,0,0,0,600
60,0,0,0,0,0,300,0,0,0,300,600
61,0,0,0,600,0,0,0,0,0,0,600
62,0,300,300,0,0,0,0,0,0,0,600
63,0,0,0,0,0,600,0,0,0,0,600
64,0,300,0,0,0,0,300,0,0,0,600
65,0,0,300,0,0,0,0,0,300,0,600
66,0,0,300,0,0,0,0,300,0,0,600
67,0,0,0,0,0,300,0,300,0,0,600
68,0,0,0,0,0,0,0,0,300,300,600
69,0,0,0,0,0,0,0,300,0,300,600
70,0,0,0,0,300,0,0,0,300,0,600
71,0,300,0,0,0,0,0,0,300,0,600
72,0,0,0,300,0,0,0,0,0,300,600
73,0,300,0,0,300,0,0,0,0,0,600
74,300,0,0,0,0,0,300,0,0,0,600
75,0,0,300,0,0,0,0,300,0,0,600
76,0,0,0,0,0,0,300,300,0,0,600
77,0,300,300,0,0,0,0,0,0,0,600
78,0,0,0,300,0,300,0,0,0,0,600
79,0,0,0,300,0,0,0,0,300,0,600
80,0,0,0,0,0,300,0,0,300,0,600
81,0,300,0,0,300,0,0,0,0,0,600
82,0,0,300,0,300,0,0,0,0,0,600
83,0,600,0,0,0,0,0,0,0,0,600
84,300,0,0,0,0,0,0,300,0,0,600
85,300,300,0,0,0,0,0,0,0,0,600
86,0,300,0,0,0,0,0,300,0,0,600
87,0,0,300,0,0,0,0,0,300,0,600
88,0,300,300,0,0,0,0,0,0,0,600
89,0,0,0,0,0,0,0,0,300,300,600
90,0,0,300,0,0,0,300,0,0,0,600
91,300,0,0,0,0,0,0,0,0,300,600
92,0,0,0,0,0,0,0,300,300,0,600
93,0,0,0,0,0,600,0,0,0,0,600
94,300,0,0,0,0,300,0,0,0,0,600
95,0,0,0,0,300,0,0,0,0,300,600
96,0,0,0,600,0,0,0,0,0,0,600
97,0,0,0,0,0,300,0,0,0,300,600
98,0,0,0,0,0,300,0,300,0,0,600
99,0,0,300,0,0,0,0,0,0,300,600
,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,
