,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,
0,150,150,0,0,0,0,0,0,0,0,300
1,150,150,0,0,0,0,0,0,0,0,300
2,150,150,0,0,0,0,0,0,0,0,300
3,150,150,0,0,0,0,0,0,0,0,300
4,150,150,0,0,0,0,0,0,0,0,300
5,150,150,0,0,0,0,0,0,0,0,300
6,150,150,0,0,0,0,0,0,0,0,300
7,150,150,0,0,0,0,0,0,0,0,300
8,150,150,0,0,0,0,0,0,0,0,300
9,150,150,0,0,0,0,0,0,0,0,300
10,150,150,0,0,0,0,0,0,0,0,300
11,150,150,0,0,0,0,0,0,0,0,300
12,150,150,0,0,0,0,0,0,0,0,300
13,150,150,0,0,0,0,0,0,0,0,300
14,150,150,0,0,0,0,0,0,0,0,300
15,150,150,0,0,0,0,0,0,0,0,300
16,150,150,0,0,0,0,0,0,0,0,300
17,150,150,0,0,0,0,0,0,0,0,300
18,150,150,0,0,0,0,0,0,0,0,300
19,150,150,0,0,0,0,0,0,0,0,300
20,150,150,0,0,0,0,0,0,0,0,300
21,150,150,0,0,0,0,0,0,0,0,300
22,150,150,0,0,0,0,0,0,0,0,300
23,150,150,0,0,0,0,0,0,0,0,300
24,150,150,0,0,0,0,0,0,0,0,300
25,150,150,0,0,0,0,0,0,0,0,300
26,150,150,0,0,0,0,0,0,0,0,300
27,150,150,0,0,0,0,0,0,0,0,300
28,150,150,0,0,0,0,0,0,0,0,300
29,150,150,0,0,0,0,0,0,0,0,300
30,150,150,0,0,0,0,0,0,0,0,300
31,150,150,0,0,0,0,0,0,0,0,300
32,150,150,0,0,0,0,0,0,0,0,300
33,150,150,0,0,0,0,0,0,0,0,300
34,150,150,0,0,0,0,0,0,0,0,300
35,150,150,0,0,0,0,0,0,0,0,300
36,150,150,0,0,0,0,0,0,0,0,300
37,150,150,0,0,0,0,0,0,0,0,300
38,150,150,0,0,0,0,0,0,0,0,300
39,150,150,0,0,0,0,0,0,0,0,300
40,0,0,150,0,0,0,0,0,150,0,300
41,0,0,150,150,0,0,0,0,0,0,300
42,0,0,150,0,0,0,0,0,0,150,300
43,0,0,150,0,0,0,0,0,150,0,300
44,0,0,0,0,0,0,150,0,0,150,300
45,0,0,0,0,150,150,0,0,0,0,300
46,0,0,150,0,0,0,0,150,0,0,300
47,0,0,0,150,0,0,0,0,0,150,300
48,0,0,0,0,0,150,0,150,0,0,300
49,0,0,0,150,0,0,0,150,0,0,300
50,0,0,0,0,150,0,0,150,0,0,300
51,0,0,0,0,150,150,0,0,0,0,300
52,0,0,0,150,0,0,150,0,0,0,300
53,0,0,0,150,0,150,0,0,0,0,300
54,0,0,150,0,0,0,150,0,0,0,300
55,0,0,150,0,0,0,150,0,0,0,300
56,0,0,0,150,0,0,150,0,0,0,300
57,0,0,0,0,150,0,150,0,0,0,300
58,0,0,0,150,0,0,0,0,0,150,300
59,0,0,0,0,0,150,150,0,0,0,300
60,0,0,0,150,0,150,0,0,0,0,300
61,0,0,0,0,150,0,0,0,150,0,300
62,0,0,150,0,0,0,0,150,0,0,300
63,0,0,0,0,0,0,0,150,0,150,300
64,0,0,0,0,150,0,0,0,150,0,300
65,0,0,150,0,0,0,0,0,150,0,300
66,0,0,0,150,0,0,0,0,0,150,300
67,0,0,0,150,0,0,0,0,0,150,300
68,0,0,0,0,0,0,0,0,150,150,300
69,0,0,0,0,0,150,150,0,0,0,300
70,0,0,0,0,150,0,0,0,0,150,300
71,0,0,150,0,0,150,0,0,0,0,300
72,0,0,150,0,0,150,0,0,0,0,300
73,0,0,150,0,0,0,150,0,0,0,300
74,0,0,150,150,0,0,0,0,0,0,300
75,0,0,0,0,150,150,0,0,0,0,300
76,0,0,0,0,150,0,0,150,0,0,300
77,0,0,150,0,0,0,0,150,0,0,300
78,0,0,150,0,0,0,0,0,150,0,300
79,0,0,0,150,0,0,0,0,150,0,300
80,0,0,0,150,150,0,0,0,0,0,300
81,0,0,150,0,0,150,0,0,0,0,300
82,0,0,0,0,150,0,150,0,0,0,300
83,0,0,0,0,0,0,150,0,150,0,300
84,0,0,0,0,150,0,0,0,150,0,300
85,0,0,150,0,0,0,0,0,0,150,300
86,0,0,0,0,150,0,0,150,0,0,300
87,0,0,150,0,150,0,0,0,0,0,300
88,0,0,0,150,0,150,0,0,0,0,300
89,0,0,0,0,0,150,150,0,0,0,300
90,0,0,0,0,150,0,0,150,0,0,300
91,0,0,0,0,0,150,0,0,150,0,300
92,0,0,0,0,0,0,150,0,0,150,300
93,0,0,0,150,0,0,0,150,0,0,300
94,0,0,150,0,0,150,0,0,0,0,300
95,0,0,0,0,150,150,0,0,0,0,300
96,0,0,0,0,0,0,150,150,0,0,300
97,0,0,0,0,0,150,0,150,0,0,300
98,0,0,0,150,150,0,0,0,0,0,300
99,0,0,150,0,150,0,0,0,0,0,300
,6000,6000,3000,2400,2700,2550,2100,1950,1650,1650,30000
