,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,
0,0,0,60,0,0,0,0,0,0,60,120
1,0,0,0,0,149,0,0,0,0,149,298
2,17,0,0,17,0,0,0,0,0,0,34
3,0,0,0,0,21,0,21,0,0,0,42
4,0,0,0,0,0,0,337,0,337,0,674
5,0,0,0,0,12,0,0,0,0,0,12
6,0,0,0,9,9,0,0,0,0,0,18
7,0,0,0,99,0,99,0,0,0,0,198
8,0,0,0,0,0,0,0,0,5,5,10
9,7,0,0,0,7,0,0,0,0,0,14
10,0,0,46,0,0,0,46,0,0,0,92
11,0,0,60,0,0,0,60,0,0,0,120
12,6,0,0,0,0,0,6,0,0,0,12
13,0,0,0,0,654,654,0,0,0,0,1308
14,0,0,0,0,332,332,0,0,0,0,664
15,0,0,0,0,0,82,0,0,82,0,164
16,0,61,0,0,0,0,61,0,0,0,122
17,1,0,0,1,0,0,0,0,0,0,2
18,0,17,0,17,0,0,0,0,0,0,34
19,20,0,0,0,0,0,0,20,0,0,40
20,0,0,0,3,0,0,0,0,3,0,6
21,0,8,0,0,0,0,0,8,0,0,16
22,0,0,0,0,0,0,0,42,0,0,42
23,0,0,0,0,0,0,76,76,0,0,152
24,0,0,0,13,0,0,0,0,0,13,26
25,0,0,43,0,0,0,43,0,0,0,86
26,0,17,0,0,0,0,0,17,0,0,34
27,1847,0,0,0,0,0,1847,0,0,0,3694
28,0,0,0,0,0,0,0,0,0,1000,1000
29,0,0,0,0,0,0,0,0,10,10,20
30,0,0,27,0,0,27,0,0,0,0,54
31,1,0,0,0,1,0,0,0,0,0,2
32,0,7,0,0,0,0,7,0,0,0,14
33,0,0,0,0,0,13,0,0,13,0,26
34,0,0,0,132,0,0,0,0,132,0,264
35,0,0,0,52,0,0,52,0,0,0,104
36,0,0,6,0,6,0,0,0,0,0,12
37,20,20,0,0,0,0,0,0,0,0,40
38,0,0,0,0,0,0,33,0,33,0,66
39,0,16,0,0,16,0,0,0,0,0,32
40,0,0,15,0,0,0,0,15,0,0,30
41,0,0,1,0,1,0,0,0,0,0,2
42,0,0,37,0,0,37,0,0,0,0,74
43,0,0,0,0,0,20,0,20,0,0,40
44,0,0,31,0,31,0,0,0,0,0,62
45,0,0,0,0,0,0,10,0,10,0,20
46,0,0,486,0,0,0,0,0,486,0,972
47,0,3006,0,0,0,0,0,0,3006,0,6012
48,0,0,0,0,0,0,841,0,841,0,1682
49,0,0,1,0,0,0,1,0,0,0,2
50,0,0,0,0,0,0,0,0,8,0,8
51,0,0,0,0,0,0,0,42,0,0,42
52,0,21,0,21,0,0,0,0,0,0,42
53,0,0,17,17,0,0,0,0,0,0,34
54,0,0,0,21,0,0,0,0,0,21,42
55,0,0,0,26,0,0,0,0,0,0,26
56,0,0,2,0,0,0,0,0,2,0,4
57,0,126,0,0,0,0,0,0,0,0,126
58,37,0,0,0,0,0,0,0,37,0,74
59,0,0,0,0,52,52,0,0,0,0,104
60,0,0,0,0,0,0,0,13,13,0,26
61,0,0,0,0,0,87,0,0,0,87,174
62,22,0,0,0,0,0,0,0,22,0,44
63,0,0,0,225,0,0,225,0,0,0,450
64,0,0,0,0,0,0,0,47,0,47,94
65,0,0,0,0,0,0,2127,0,2127,0,4254
66,0,17,0,0,0,0,17,0,0,0,34
67,0,8,8,0,0,0,0,0,0,0,16
68,0,7,0,7,0,0,0,0,0,0,14
69,289,0,0,0,0,0,289,0,0,0,578
70,3,0,0,0,0,0,0,0,0,3,6
71,322,0,0,0,0,0,0,0,322,0,644
72,0,0,0,0,0,0,3,3,0,0,6
73,0,0,0,0,148,0,0,0,0,148,296
74,0,0,0,0,0,101,0,101,0,0,202
75,76,0,0,0,76,0,0,0,0,0,152
76,0,0,0,0,0,0,11,0,0,11,22
77,5,5,0,0,0,0,0,0,0,0,10
78,0,0,0,0,0,0,0,0,3,3,6
79,0,0,0,0,0,0,0,0,19,19,38
80,0,0,0,0,27,0,0,0,0,27,54
81,0,0,0,2,0,2,0,0,0,0,4
82,0,0,0,0,0,0,0,3838,0,0,3838
83,0,0,0,0,0,0,4,4,0,0,8
84,0,0,30,0,30,0,0,0,0,0,60
85,52,0,0,0,0,0,52,0,0,0,104
86,0,0,0,13,0,13,0,0,0,0,26
87,0,0,0,0,0,19,0,0,0,19,38
88,0,62,0,0,0,0,62,0,0,0,124
89,0,0,15,0,0,0,0,15,0,0,30
90,0,0,4,0,0,0,4,0,0,0,8
91,10,0,0,0,0,0,0,10,0,0,20
92,0,0,0,0,0,0,0,398,0,398,796
93,0,6,0,6,0,0,0,0,0,0,12
94,0,0,0,0,11,0,0,11,0,0,22
95,0,0,0,0,49,49,0,0,0,0,98
96,0,0,0,0,0,185,0,185,0,0,370
97,200,0,0,0,0,0,0,0,0,200,400
98,149,0,0,0,149,0,0,0,0,0,298
99,0,0,0,0,0,1,0,1,0,0,2
,3084,3404,889,681,1781,1773,6235,4866,7511,2220,
