,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,
0,150,150,0,0,0,0,0,0,0,0,300
1,177,177,0,0,0,0,0,0,0,0,354
2,138,138,0,0,0,0,0,0,0,0,276
3,137,137,0,0,0,0,0,0,0,0,274
4,111,111,0,0,0,0,0,0,0,0,222
5,179,179,0,0,0,0,0,0,0,0,358
6,141,141,0,0,0,0,0,0,0,0,282
7,159,159,0,0,0,0,0,0,0,0,318
8,142,142,0,0,0,0,0,0,0,0,284
9,139,139,0,0,0,0,0,0,0,0,278
10,147,147,0,0,0,0,0,0,0,0,294
11,152,152,0,0,0,0,0,0,0,0,304
12,149,149,0,0,0,0,0,0,0,0,298
13,156,156,0,0,0,0,0,0,0,0,312
14,146,146,0,0,0,0,0,0,0,0,292
15,141,141,0,0,0,0,0,0,0,0,282
16,147,147,0,0,0,0,0,0,0,0,294
17,174,174,0,0,0,0,0,0,0,0,348
18,139,139,0,0,0,0,0,0,0,0,278
19,153,153,0,0,0,0,0,0,0,0,306
20,151,151,0,0,0,0,0,0,0,0,302
21,150,150,0,0,0,0,0,0,0,0,300
22,154,154,0,0,0,0,0,0,0,0,308
23,185,185,0,0,0,0,0,0,0,0,370
24,127,127,0,0,0,0,0,0,0,0,254
25,159,159,0,0,0,0,0,0,0,0,318
26,179,179,0,0,0,0,0,0,0,0,358
27,133,133,0,0,0,0,0,0,0,0,266
28,153,153,0,0,0,0,0,0,0,0,306
29,135,135,0,0,0,0,0,0,0,0,270
30,159,159,0,0,0,0,0,0,0,0,318
31,146,146,0,0,0,0,0,0,0,0,292
32,163,163,0,0,0,0,0,0,0,0,326
33,152,152,0,0,0,0,0,0,0,0,304
34,161,161,0,0,0,0,0,0,0,0,322
35,168,168,0,0,0,0,0,0,0,0,336
36,111,111,0,0,0,0,0,0,0,0,222
37,132,132,0,0,0,0,0,0,0,0,264
38,137,137,0,0,0,0,0,0,0,0,274
39,147,147,0,0,0,0,0,0,0,0,294
40,0,0,0,0,0,0,169,0,169,0,338
41,0,0,0,0,0,162,0,0,0,162,324
42,0,0,0,0,0,158,0,0,158,0,316
43,0,0,0,0,0,154,0,0,0,154,308
44,0,0,0,0,144,144,0,0,0,0,288
45,0,0,0,175,0,0,0,0,0,175,350
46,0,0,0,0,0,0,156,0,156,0,312
47,0,0,166,166,0,0,0,0,0,0,332
48,0,0,0,0,0,0,0,0,165,165,330
49,0,0,0,0,137,0,0,0,0,137,274
50,0,0,0,0,0,145,0,0,0,145,290
51,0,0,171,0,171,0,0,0,0,0,342
52,0,0,0,0,0,0,161,0,161,0,322
53,0,0,0,172,0,0,0,0,0,172,344
54,0,0,0,0,148,0,148,0,0,0,296
55,0,0,129,0,0,0,0,129,0,0,258
56,0,0,0,0,182,182,0,0,0,0,364
57,0,0,139,0,0,0,0,0,0,139,278
58,0,0,142,0,142,0,0,0,0,0,284
59,0,0,147,0,0,0,0,0,147,0,294
60,0,0,155,0,0,0,0,0,0,155,310
61,0,0,0,156,0,0,0,156,0,0,312
62,0,0,0,0,0,0,0,138,138,0,276
63,0,0,0,0,0,0,0,173,0,173,346
64,0,0,0,0,172,172,0,0,0,0,344
65,0,0,127,127,0,0,0,0,0,0,254
66,0,0,148,0,0,0,148,0,0,0,296
67,0,0,0,0,143,0,0,143,0,0,286
68,0,0,0,0,0,0,146,0,0,146,292
69,0,0,0,158,0,0,0,0,0,158,316
70,0,0,0,0,0,171,171,0,0,0,342
71,0,0,0,140,0,0,0,140,0,0,280
72,0,0,0,148,148,0,0,0,0,0,296
73,0,0,0,0,0,0,0,187,0,187,374
74,0,0,144,0,0,0,0,0,144,0,288
75,0,0,0,0,0,146,0,146,0,0,292
76,0,0,0,0,0,0,0,0,146,146,292
77,0,0,0,0,0,0,0,157,0,157,314
78,0,0,152,0,152,0,0,0,0,0,304
79,0,0,0,0,0,143,143,0,0,0,286
80,0,0,157,0,0,0,0,0,157,0,314
81,0,0,0,0,0,0,128,0,128,0,256
82,0,0,0,0,0,0,0,154,154,0,308
83,0,0,0,146,0,0,146,0,0,0,292
84,0,0,0,149,0,0,149,0,0,0,298
85,0,0,149,0,0,0,0,149,0,0,298
86,0,0,0,0,0,0,0,146,146,0,292
87,0,0,147,0,0,0,0,0,147,0,294
88,0,0,153,153,0,0,0,0,0,0,306
89,0,0,0,0,0,140,0,0,140,0,280
90,0,0,0,0,0,0,0,148,148,0,296
91,0,0,136,0,0,0,136,0,0,0,272
92,0,0,0,0,0,0,146,146,0,0,292
93,0,0,0,164,0,164,0,0,0,0,328
94,0,0,150,0,0,0,0,0,0,150,300
95,0,0,131,0,0,0,0,0,0,131,262
96,0,0,0,159,159,0,0,0,0,0,318
97,0,0,0,0,0,122,122,0,0,0,244
98,0,0,0,0,0,176,0,0,0,176,352
99,0,0,155,0,0,0,0,0,155,0,310
,5979,5979,2798,2013,1698,2179,2069,2112,2559,2828,
