,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,
0,0,0,0,100,0,0,100,100,200,0,500
1,100,200,0,0,0,0,0,0,200,100,600
2,0,100,0,0,100,100,100,0,0,0,400
3,100,0,0,200,0,100,200,0,100,0,700
4,0,0,0,100,100,0,0,0,200,0,400
5,100,200,0,0,100,100,0,0,100,0,600
6,100,0,100,0,0,0,200,100,100,100,700
7,0,0,100,0,100,0,100,200,100,100,700
8,0,0,0,200,200,0,100,0,0,100,600
9,0,0,0,0,0,200,100,100,0,0,400
10,0,0,100,100,0,100,0,0,200,200,700
11,200,0,0,0,100,0,100,0,100,200,700
12,0,0,100,200,0,100,100,100,0,100,700
13,0,100,200,100,0,100,0,0,100,100,700
14,100,100,0,0,0,100,0,100,100,0,500
15,100,0,200,0,0,200,0,0,100,100,700
16,0,100,100,100,0,100,0,100,200,0,700
17,0,200,100,200,0,0,100,100,0,100,800
18,100,200,100,0,0,100,0,0,0,100,600
19,0,200,100,100,100,0,0,0,100,0,600
20,0,100,0,0,100,0,100,100,0,0,400
21,100,0,100,0,100,200,0,200,0,0,700
22,200,100,0,0,100,100,0,100,0,200,800
23,0,0,0,100,100,100,100,400,0,0,800
24,100,0,0,0,100,0,100,0,100,0,400
25,100,100,200,0,100,0,0,0,0,0,500
26,0,0,200,0,100,0,100,0,0,0,400
27,100,0,100,0,100,100,100,0,200,100,800
28,300,0,100,0,100,0,0,100,0,0,600
29,100,200,0,0,0,0,0,0,100,0,400
30,200,0,200,100,100,0,0,100,0,0,700
31,0,100,0,100,0,200,100,0,100,0,600
32,100,100,0,100,200,100,0,100,0,100,800
33,100,0,0,100,0,100,0,100,0,0,400
34,0,0,0,100,200,200,100,0,100,0,700
35,0,100,0,100,100,0,200,0,0,100,600
36,100,0,0,0,100,100,100,0,100,0,500
37,100,0,0,200,100,100,100,0,0,0,600
38,0,100,100,0,200,200,0,100,100,0,800
39,0,100,100,0,0,0,100,100,0,0,400
40,0,100,100,0,0,0,100,100,0,0,400
41,100,100,0,0,200,0,100,0,0,100,600
42,0,0,0,200,0,200,0,200,200,0,800
43,100,200,0,0,0,0,0,100,0,0,400
44,200,0,100,0,200,100,0,100,0,100,800
45,100,0,100,0,0,0,100,0,100,100,500
46,0,0,200,200,100,0,100,100,100,0,800
47,100,0,300,0,0,0,0,200,0,0,600
48,0,0,0,0,200,200,100,100,100,100,800
49,100,200,0,0,100,0,100,0,100,0,600
50,100,0,100,0,0,0,0,100,100,0,400
51,100,0,200,0,100,100,0,0,0,200,700
52,0,100,100,100,0,100,0,100,100,200,800
53,300,100,100,0,0,0,0,100,200,0,800
54,100,0,100,0,0,0,0,100,100,100,500
55,100,100,0,0,0,100,100,0,100,100,600
56,0,0,0,100,0,200,100,200,100,0,700
57,0,100,0,0,100,200,0,300,100,0,800
58,0,100,0,400,100,0,0,200,0,0,800
59,0,0,100,0,0,0,200,0,100,100,500
60,0,100,0,0,0,0,100,100,0,100,400
61,0,300,0,100,0,0,100,0,0,100,600
62,200,0,100,100,0,0,0,0,100,0,500
63,0,200,100,200,0,0,0,0,0,0,500
64,100,100,0,200,100,0,200,0,0,0,700
65,0,0,100,100,0,0,100,100,0,100,500
66,0,0,0,0,200,100,0,100,0,0,400
67,0,0,100,0,0,100,100,100,0,0,400
68,100,200,0,0,0,0,100,100,100,100,700
69,100,100,0,0,0,0,0,0,100,100,400
70,0,100,0,0,100,200,200,0,0,200,800
71,100,100,200,200,100,0,0,0,0,0,700
72,0,100,0,100,0,100,0,100,0,400,800
73,200,100,0,100,0,100,0,100,0,200,800
74,0,0,0,300,0,0,100,0,100,200,700
75,200,0,0,0,100,100,0,0,0,0,400
76,0,0,100,100,100,0,0,0,200,0,500
77,100,100,100,0,0,0,0,0,100,0,400
78,0,100,0,0,0,200,200,0,0,0,500
79,100,100,0,200,100,0,100,0,0,0,600
80,200,100,0,0,0,0,100,0,200,200,800
81,100,0,200,0,200,100,0,100,0,0,700
82,0,0,100,200,100,0,200,0,100,0,700
83,0,0,0,0,0,0,100,100,200,100,500
84,100,0,100,0,200,0,100,100,0,0,600
85,100,100,100,0,0,0,0,200,0,0,500
86,0,0,0,100,200,200,100,0,0,100,700
87,0,0,0,300,0,0,0,100,200,0,600
88,0,100,100,100,300,0,0,0,0,0,600
89,100,0,0,0,0,100,200,0,0,300,700
90,100,0,200,0,0,0,200,0,0,0,500
91,100,100,0,0,0,100,0,100,0,200,600
92,0,100,100,0,100,200,0,100,100,0,700
93,0,100,0,100,100,100,0,0,200,100,700
94,0,100,0,0,0,0,100,0,100,200,500
95,0,0,200,100,0,0,200,200,0,100,800
96,0,0,100,0,0,100,0,0,0,200,400
97,0,0,100,100,200,100,0,0,0,100,600
98,100,100,100,0,0,0,0,0,0,0,300
99,0,0,0,0,0,100,0,0,0,0,100
,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,
