,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,
0,0,100,0,0,100,200,100,0,100,100,700
1,0,100,0,300,0,100,200,100,0,0,800
2,200,100,100,0,100,0,100,0,0,0,600
3,0,100,0,100,0,0,0,0,0,300,500
4,100,0,0,0,100,0,100,300,0,100,700
5,200,300,100,0,0,100,0,0,0,0,700
6,0,100,0,100,0,100,0,300,200,0,800
7,0,0,100,200,0,100,0,0,100,0,500
8,0,100,0,0,0,100,200,100,0,100,600
9,0,0,100,0,200,0,0,0,100,100,500
10,400,0,0,0,0,0,0,100,200,100,800
11,0,0,100,100,0,100,100,0,100,0,500
12,0,200,0,100,100,0,0,200,0,200,800
13,0,0,100,0,200,100,0,100,0,100,600
14,100,100,0,0,100,0,0,100,100,100,600
15,0,0,0,200,0,200,0,0,0,0,400
16,100,100,100,200,0,200,100,0,0,0,800
17,100,100,100,100,0,0,200,100,0,0,700
18,0,0,100,100,0,0,0,100,100,0,400
19,0,100,100,100,0,0,100,0,200,100,700
20,0,0,0,100,100,200,0,0,200,0,600
21,0,100,0,100,0,100,0,100,100,0,500
22,0,100,0,0,100,100,100,100,100,0,600
23,0,100,200,0,0,100,0,100,100,0,600
24,0,0,100,100,0,100,0,200,0,0,500
25,100,0,100,100,0,100,0,100,0,100,600
26,100,0,0,100,0,100,0,0,100,0,400
27,100,0,100,100,0,200,0,0,0,0,500
28,0,100,0,100,100,0,100,0,200,0,600
29,0,200,100,0,100,100,0,0,0,100,600
30,0,0,0,100,100,0,200,0,100,0,500
31,0,100,100,100,0,100,0,0,0,100,500
32,0,0,0,0,0,0,0,200,0,200,400
33,200,100,100,0,0,0,0,100,0,100,600
34,0,200,0,0,200,100,100,0,0,100,700
35,100,0,0,200,0,0,100,200,0,200,800
36,100,100,300,100,100,0,0,0,0,0,700
37,200,0,0,0,0,0,100,200,0,100,600
38,100,0,0,0,0,0,0,200,200,100,600
39,100,0,0,0,0,100,100,200,0,100,600
40,0,100,0,0,100,100,0,0,200,200,700
41,200,100,0,0,0,0,0,0,100,0,400
42,0,100,100,100,0,100,0,0,0,0,400
43,100,0,0,0,0,0,200,100,100,0,500
44,200,100,0,0,200,100,100,100,0,0,800
45,200,300,0,0,0,0,0,0,100,0,600
46,0,100,0,0,100,0,100,100,0,0,400
47,200,0,100,200,0,100,100,0,0,100,800
48,100,100,400,0,0,100,0,0,100,0,800
49,0,100,0,0,0,0,200,200,200,100,800
50,0,0,100,100,100,100,0,0,0,200,600
51,0,100,0,100,100,0,100,100,0,0,500
52,300,0,200,0,0,100,0,0,0,0,600
53,0,0,0,200,0,100,100,200,0,200,800
54,100,100,200,0,0,100,100,100,0,0,700
55,100,0,0,0,300,0,0,0,0,0,400
56,0,100,0,0,100,0,0,100,300,100,700
57,100,200,0,0,0,100,0,0,0,0,400
58,100,0,200,100,0,200,100,0,0,100,800
59,0,100,0,0,100,0,100,0,100,100,500
60,0,0,200,0,0,0,200,100,0,100,600
61,0,0,0,0,100,200,100,0,100,100,600
62,0,0,0,100,200,0,0,0,0,100,400
63,0,100,100,0,0,100,0,100,0,0,400
64,100,200,0,100,100,200,0,0,0,100,800
65,0,0,0,0,0,100,0,100,0,500,700
66,0,0,100,0,0,0,100,0,200,0,400
67,0,0,100,100,100,0,0,200,0,0,500
68,100,0,100,100,100,0,100,0,0,100,600
69,0,100,0,0,0,0,100,100,0,100,400
70,0,100,100,0,0,0,100,100,100,0,500
71,0,200,0,0,100,0,0,0,200,0,500
72,100,0,100,0,0,0,200,0,100,0,500
73,0,0,0,100,200,100,0,100,0,0,500
74,200,0,100,0,100,0,200,200,0,0,800
75,0,0,400,0,100,0,0,0,0,100,600
76,100,0,0,100,0,0,0,0,100,100,400
77,100,0,200,0,0,300,0,100,0,0,700
78,100,100,100,0,300,100,100,0,0,0,800
79,0,200,0,200,100,100,100,0,0,0,700
80,0,100,0,0,100,0,200,0,100,100,600
81,0,0,200,100,0,100,100,0,0,0,500
82,0,0,0,0,100,100,100,0,100,0,400
83,0,0,100,200,0,0,0,0,100,0,400
84,200,0,100,100,0,100,100,0,100,100,800
85,100,0,100,0,100,0,100,100,0,0,500
86,0,0,200,0,200,0,0,0,100,100,600
87,200,0,0,0,0,100,0,0,100,100,500
88,0,200,0,200,100,0,100,100,100,0,800
89,0,0,0,0,200,0,200,0,0,0,400
90,0,200,0,0,300,100,0,100,0,100,800
91,0,100,0,0,0,100,0,100,300,100,700
92,100,0,100,0,200,0,0,0,0,200,600
93,0,100,100,100,100,0,100,0,100,0,600
94,0,0,0,100,0,0,0,100,200,100,500
95,100,0,0,200,100,100,100,0,100,0,700
96,200,0,100,200,0,0,100,100,100,0,800
97,200,0,0,100,0,100,200,0,100,100,800
98,0,100,0,100,100,100,100,100,100,100,800
99,100,0,0,200,100,0,0,0,0,0,400
,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,60000
