,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,0,0,0,0,300,0,0,0,0,300
1,300,300,0,0,0,0,0,0,0,0
2,0,300,0,0,0,0,0,0,0,300
3,0,0,300,0,0,0,300,0,0,0
4,0,300,0,0,300,0,0,0,0,0
5,0,0,0,300,0,0,0,0,0,300
6,300,0,0,0,0,0,0,0,300,0
7,0,0,0,0,0,0,300,300,0,0
8,223,377,0,0,0,0,0,0,0,0
9,300,0,0,0,0,0,0,0,300,0
10,0,300,0,0,0,0,0,0,300,0
11,0,0,300,0,0,0,0,0,51,249
12,0,0,0,0,0,300,0,0,0,300
13,0,0,300,0,0,300,0,0,0,0
14,0,300,0,0,0,0,300,0,0,0
15,0,0,0,0,0,300,0,300,0,0
16,0,0,300,0,300,0,0,0,0,0
17,0,300,0,0,0,0,0,0,0,300
18,0,0,0,0,300,0,0,300,0,0
19,0,0,0,0,300,300,0,0,0,0
20,300,0,0,300,0,0,0,0,0,0
21,0,0,0,300,0,0,0,300,0,0
22,0,0,0,0,300,0,0,0,300,0
23,0,0,300,0,0,300,0,0,0,0
24,0,0,300,0,300,0,0,0,0,0
25,0,0,0,0,0,0,0,0,600,0
26,0,300,0,300,0,0,0,0,0,0
27,0,0,0,600,0,0,0,0,0,0
28,0,0,0,0,300,0,300,0,0,0
29,0,0,23,277,300,0,0,0,0,0
30,0,0,0,0,0,0,0,200,100,300
31,0,300,0,0,0,300,0,0,0,0
32,0,0,0,0,0,0,0,0,600,0
33,0,0,0,300,300,0,0,0,0,0
34,300,300,0,0,0,0,0,0,0,0
35,0,300,0,0,0,0,0,0,0,300
36,300,0,0,0,0,0,0,300,0,0
37,0,0,0,0,0,0,0,600,0,0
38,0,0,300,0,0,0,0,0,0,300
39,0,0,0,300,0,0,0,0,0,300
40,0,0,300,0,0,0,0,0,0,300
41,0,0,0,0,300,0,0,0,0,300
42,300,65,235,0,0,0,0,0,0,0
43,300,0,300,0,0,0,0,0,0,0
44,0,0,0,300,0,0,0,300,0,0
45,300,300,0,0,0,0,0,0,0,0
46,300,0,0,0,0,0,0,0,300,0
47,0,0,0,0,300,17,283,0,0,0
48,0,0,0,0,0,0,300,0,300,0
49,0,0,0,0,0,0,0,600,0,0
50,0,0,0,0,0,0,0,0,300,300
51,0,0,0,0,300,0,0,0,300,0
52,0,0,0,300,0,0,300,0,0,0
53,0,0,0,0,0,300,0,0,0,300
54,0,0,0,300,0,0,0,300,0,0
55,0,0,0,0,0,300,0,300,0,0
56,0,600,0,0,0,0,0,0,0,0
57,0,0,0,300,0,0,0,0,300,0
58,0,0,0,0,300,0,300,0,0,0
59,0,0,0,0,0,300,0,0,0,300
60,300,0,0,0,296,4,0,0,0,0
61,0,300,0,300,0,0,0,0,0,0
62,0,0,300,0,300,0,0,0,0,0
63,0,0,0,0,0,300,300,0,0,0
64,300,0,0,0,0,0,300,0,0,0
65,0,0,0,0,0,0,0,300,300,0
66,0,0,300,0,0,0,0,0,300,0
67,300,0,0,300,0,0,0,0,0,0
68,0,0,0,0,0,0,600,0,0,0
69,0,0,0,0,0,0,0,600,0,0
70,300,0,0,0,0,0,300,0,0,0
71,0,300,0,0,300,0,0,0,0,0
72,0,0,300,154,146,0,0,0,0,0
73,0,300,0,0,0,300,0,0,0,0
74,0,0,300,300,0,0,0,0,0,0
75,0,0,0,300,300,0,0,0,0,0
76,300,0,0,0,0,0,0,0,0,300
77,300,0,0,0,0,0,0,0,0,300
78,0,0,0,0,0,300,300,0,0,0
79,0,0,0,0,0,300,0,0,0,300
80,0,300,0,0,0,0,300,0,0,0
81,0,0,0,0,0,300,300,0,0,0
82,0,0,0,300,0,0,0,300,0,0
83,0,300,0,0,0,300,0,0,0,0
84,0,300,300,0,0,0,0,0,0,0
85,300,0,0,0,300,0,0,0,0,0
86,0,0,0,0,0,300,300,0,0,0
87,300,0,0,0,0,0,0,300,0,0
88,0,0,0,300,0,0,0,0,300,0
89,0,300,0,0,0,300,0,0,0,0
90,0,0,0,300,0,0,300,0,0,0
91,0,0,300,0,0,0,300,0,0,0
92,0,0,300,0,0,0,0,300,0,0
93,0,0,0,0,0,0,0,300,0,300
94,0,0,300,0,0,0,0,0,300,0
95,0,0,0,0,0,0,0,0,300,300
96,0,0,0,0,0,300,0,0,300,0
97,0,300,300,0,0,0,0,0,0,0
98,0,0,300,0,0,0,235,65,0,0
99,300,0,0,0,0,0,0,300,0,0
