,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,
0,145,145,0,0,0,0,0,0,0,0,290
1,145,145,0,0,0,0,0,0,0,0,290
2,145,145,0,0,0,0,0,0,0,0,290
3,145,145,0,0,0,0,0,0,0,0,290
4,145,145,0,0,0,0,0,0,0,0,290
5,145,145,0,0,0,0,0,0,0,0,290
6,145,145,0,0,0,0,0,0,0,0,290
7,145,145,0,0,0,0,0,0,0,0,290
8,145,145,0,0,0,0,0,0,0,0,290
9,145,145,0,0,0,0,0,0,0,0,290
10,145,145,0,0,0,0,0,0,0,0,290
11,145,145,0,0,0,0,0,0,0,0,290
12,145,145,0,0,0,0,0,0,0,0,290
13,145,145,0,0,0,0,0,0,0,0,290
14,145,145,0,0,0,0,0,0,0,0,290
15,145,145,0,0,0,0,0,0,0,0,290
16,145,145,0,0,0,0,0,0,0,0,290
17,145,145,0,0,0,0,0,0,0,0,290
18,145,145,0,0,0,0,0,0,0,0,290
19,145,145,0,0,0,0,0,0,0,0,290
20,145,145,0,0,0,0,0,0,0,0,290
21,145,145,0,0,0,0,0,0,0,0,290
22,145,145,0,0,0,0,0,0,0,0,290
23,145,145,0,0,0,0,0,0,0,0,290
24,145,145,0,0,0,0,0,0,0,0,290
25,145,145,0,0,0,0,0,0,0,0,290
26,145,145,0,0,0,0,0,0,0,0,290
27,145,145,0,0,0,0,0,0,0,0,290
28,145,145,0,0,0,0,0,0,0,0,290
29,145,145,0,0,0,0,0,0,0,0,290
30,145,145,0,0,0,0,0,0,0,0,290
31,145,145,0,0,0,0,0,0,0,0,290
32,145,145,0,0,0,0,0,0,0,0,290
33,145,145,0,0,0,0,0,0,0,0,290
34,145,145,0,0,0,0,0,0,0,0,290
35,145,145,0,0,0,0,0,0,0,0,290
36,145,145,0,0,0,0,0,0,0,0,290
37,145,145,0,0,0,0,0,0,0,0,290
38,145,145,0,0,0,0,0,0,0,0,290
39,145,145,0,0,0,0,0,0,0,0,290
40,0,0,0,0,0,145,0,145,0,0,290
41,0,0,0,0,0,145,0,145,0,0,290
42,0,0,0,145,145,0,0,0,0,0,290
43,0,0,0,0,0,145,0,0,145,0,290
44,0,0,145,0,0,145,0,0,0,0,290
45,0,0,0,0,145,0,0,0,0,145,290
46,0,0,145,0,0,0,145,0,0,0,290
47,0,0,0,0,145,0,145,0,0,0,290
48,0,0,145,0,0,0,0,145,0,0,290
49,0,0,0,0,0,0,145,0,145,0,290
50,0,0,0,145,0,0,0,0,0,145,290
51,0,0,0,0,145,0,0,0,0,145,290
52,0,0,145,0,0,0,145,0,0,0,290
53,0,0,0,145,0,0,0,0,0,145,290
54,0,0,0,0,0,0,145,0,0,145,290
55,0,0,0,0,0,0,0,145,0,145,290
56,0,0,0,145,0,145,0,0,0,0,290
57,0,0,0,0,0,145,0,0,145,0,290
58,0,0,0,145,0,0,145,0,0,0,290
59,0,0,0,0,0,0,145,0,0,145,290
60,0,0,0,145,0,0,0,0,0,145,290
61,0,0,0,0,145,0,0,0,0,145,290
62,0,0,0,0,0,145,0,0,0,145,290
63,0,0,0,0,0,0,145,0,0,145,290
64,0,0,0,145,0,0,0,0,145,0,290
65,0,0,0,0,145,145,0,0,0,0,290
66,0,0,0,0,0,145,145,0,0,0,290
67,0,0,145,0,145,0,0,0,0,0,290
68,0,0,0,0,0,0,0,145,0,145,290
69,0,0,0,0,145,0,0,0,145,0,290
70,0,0,0,0,0,0,145,145,0,0,290
71,0,0,0,145,0,0,0,0,145,0,290
72,0,0,145,0,0,145,0,0,0,0,290
73,0,0,0,0,145,0,0,0,145,0,290
74,0,0,145,0,0,0,0,0,145,0,290
75,0,0,0,0,0,0,0,145,145,0,290
76,0,0,0,145,145,0,0,0,0,0,290
77,0,0,0,145,0,145,0,0,0,0,290
78,0,0,0,145,145,0,0,0,0,0,290
79,0,0,0,0,0,145,145,0,0,0,290
80,0,0,145,0,0,145,0,0,0,0,290
81,0,0,0,145,0,0,0,145,0,0,290
82,0,0,145,0,0,145,0,0,0,0,290
83,0,0,0,0,0,0,0,145,0,145,290
84,0,0,0,0,0,0,0,145,0,145,290
85,0,0,145,0,0,0,0,0,0,145,290
86,0,0,145,0,0,0,0,145,0,0,290
87,0,0,0,0,145,0,145,0,0,0,290
88,0,0,0,0,0,0,145,0,145,0,290
89,0,0,0,145,0,0,0,0,0,145,290
90,0,0,145,0,0,0,145,0,0,0,290
91,0,0,0,145,145,0,0,0,0,0,290
92,0,0,0,0,0,0,145,0,0,145,290
93,0,0,0,0,0,145,0,0,0,145,290
94,0,0,0,0,145,0,145,0,0,0,290
95,0,0,145,0,145,0,0,0,0,0,290
96,0,0,145,0,145,0,0,0,0,0,290
97,0,0,0,0,145,0,0,0,0,145,290
98,0,0,0,0,0,0,0,145,145,0,290
99,0,0,0,0,0,0,145,0,0,145,290
,5800,5800,2030,2030,2465,2175,2465,1740,1595,2900,29000
