,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,
0,0,0,9,0,0,9,0,0,0,0,18
1,0,56,0,0,0,0,0,0,0,56,112
2,0,0,0,0,0,93,93,0,0,0,186
3,0,0,2,0,2,0,0,0,0,0,4
4,9,0,0,0,0,0,9,0,0,0,18
5,70,0,0,0,0,0,70,0,0,0,140
6,0,0,0,0,0,66,66,0,0,0,132
7,0,0,0,0,58,0,0,58,0,0,116
8,0,0,50,0,0,0,50,0,0,0,100
9,0,0,30,0,0,0,0,30,0,0,60
10,76,0,0,0,0,0,0,0,0,76,152
11,114,0,0,0,114,0,0,0,0,0,228
12,0,0,0,0,0,0,0,38,0,38,76
13,2543,2543,0,0,0,0,0,0,0,0,5086
14,0,0,0,0,0,0,0,0,0,78,78
15,0,0,0,0,80,0,0,0,0,0,80
16,0,0,14,0,14,0,0,0,0,0,28
17,0,0,0,0,0,0,0,0,198,0,198
18,0,0,0,0,0,0,0,1334,1334,0,2668
19,92,0,92,0,0,0,0,0,0,0,184
20,22,0,0,0,0,0,0,0,0,22,44
21,0,14,0,0,0,14,0,0,0,0,28
22,0,0,0,3216,0,0,0,3216,0,0,6432
23,0,0,0,0,0,0,72,0,0,72,144
24,0,0,0,0,0,0,554,0,554,0,1108
25,0,0,0,0,0,103,0,0,0,103,206
26,0,846,0,0,0,0,0,846,0,0,1692
27,0,0,0,46,0,46,0,0,0,0,92
28,0,0,6,0,0,0,0,0,0,0,6
29,0,0,0,0,0,0,0,2,0,2,4
30,0,0,11,0,0,11,0,0,0,0,22
31,0,128,128,0,0,0,0,0,0,0,256
32,0,0,0,0,0,0,0,0,128,0,128
33,0,0,172,0,0,0,172,0,0,0,344
34,0,0,120,0,0,0,120,0,0,0,240
35,0,0,0,171,0,0,0,171,0,0,342
36,0,24,24,0,0,0,0,0,0,0,48
37,0,0,0,0,2,0,0,0,0,2,4
38,0,0,15,0,0,0,15,0,0,0,30
39,0,0,0,0,0,0,65,65,0,0,130
40,0,6,0,0,0,6,0,0,0,0,12
41,0,0,0,0,0,32,0,32,0,0,64
42,0,0,28,28,0,0,0,0,0,0,56
43,0,0,638,0,0,0,638,0,0,0,1276
44,3,0,0,0,0,3,0,0,0,0,6
45,0,4,0,0,0,0,0,4,0,0,8
46,0,0,0,0,0,0,0,41,41,0,82
47,0,0,1752,1752,0,0,0,0,0,0,3504
48,0,0,0,0,91,91,0,0,0,0,182
49,0,0,0,115,0,0,115,0,0,0,230
50,0,0,0,0,0,218,0,0,0,218,436
51,0,88,0,0,0,88,0,0,0,0,176
52,0,190,0,0,0,0,0,0,0,0,190
53,0,0,0,0,0,0,34,0,0,0,34
54,0,0,0,0,36,0,0,0,0,36,72
55,19,19,0,0,0,0,0,0,0,0,38
56,0,0,0,0,50,0,0,0,0,0,50
57,0,88,88,0,0,0,0,0,0,0,176
58,0,0,0,47,0,0,0,0,0,47,94
59,0,37,0,0,0,0,37,0,0,0,74
60,0,987,0,0,0,0,0,0,987,0,1974
61,65,0,0,0,65,0,0,0,0,0,130
62,0,0,0,0,0,185,0,185,0,0,370
63,0,0,0,0,2871,0,0,2871,0,0,5742
64,0,0,0,0,432,0,0,0,0,0,432
65,0,0,0,181,0,0,0,0,181,0,362
66,0,157,0,0,0,0,0,157,0,0,314
67,0,0,184,184,0,0,0,0,0,0,368
68,20,0,20,0,0,0,0,0,0,0,40
69,16,0,16,0,0,0,0,0,0,0,32
70,0,0,0,0,0,0,25,25,0,0,50
71,0,0,0,0,2,0,2,0,0,0,4
72,0,0,0,0,717,717,0,0,0,0,1434
73,0,0,0,15,0,0,15,0,0,0,30
74,0,0,0,0,0,0,0,140,0,140,280
75,22,0,0,0,0,0,0,0,22,0,44
76,0,0,0,98,98,0,0,0,0,0,196
77,10,0,0,0,0,0,0,0,10,0,20
78,0,0,8,8,0,0,0,0,0,0,16
79,0,0,0,0,0,1,0,0,0,1,2
80,0,145,0,0,0,0,0,0,145,0,290
81,133,0,0,0,133,0,0,0,0,0,266
82,0,0,0,37,37,0,0,0,0,0,74
83,0,70,0,0,0,0,0,70,0,0,140
84,0,0,0,121,0,0,121,0,0,0,242
85,0,0,10,0,0,0,0,10,0,0,20
86,0,0,0,0,0,243,0,243,0,0,486
87,0,169,0,0,0,0,169,0,0,0,338
88,0,0,0,0,24,0,0,24,0,0,48
89,0,0,0,0,0,11,0,0,11,0,22
90,0,49,0,0,0,0,0,49,0,0,98
91,0,0,0,0,0,0,0,80,80,0,160
92,146,0,0,0,0,0,0,146,0,0,292
93,59,0,0,0,0,59,0,0,0,0,118
94,0,0,19,0,0,0,0,19,0,0,38
95,20,0,0,20,0,0,0,0,0,0,40
96,0,0,5,0,0,0,0,0,0,5,10
97,160,0,0,160,0,0,0,0,0,0,320
98,0,0,0,0,0,0,35,35,0,0,70
99,120,0,0,0,0,0,0,120,0,0,240
,3719,5620,3441,6199,4826,1996,2477,10011,3691,896,42876
