,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,
0,147,147,0,0,0,0,0,0,0,0,294
1,126,126,0,0,0,0,0,0,0,0,252
2,160,160,0,0,0,0,0,0,0,0,320
3,174,174,0,0,0,0,0,0,0,0,348
4,145,145,0,0,0,0,0,0,0,0,290
5,147,147,0,0,0,0,0,0,0,0,294
6,150,150,0,0,0,0,0,0,0,0,300
7,159,159,0,0,0,0,0,0,0,0,318
8,134,134,0,0,0,0,0,0,0,0,268
9,159,159,0,0,0,0,0,0,0,0,318
10,168,168,0,0,0,0,0,0,0,0,336
11,134,134,0,0,0,0,0,0,0,0,268
12,142,142,0,0,0,0,0,0,0,0,284
13,134,134,0,0,0,0,0,0,0,0,268
14,135,135,0,0,0,0,0,0,0,0,270
15,129,129,0,0,0,0,0,0,0,0,258
16,139,139,0,0,0,0,0,0,0,0,278
17,125,125,0,0,0,0,0,0,0,0,250
18,139,139,0,0,0,0,0,0,0,0,278
19,148,148,0,0,0,0,0,0,0,0,296
20,131,131,0,0,0,0,0,0,0,0,262
21,151,151,0,0,0,0,0,0,0,0,302
22,152,152,0,0,0,0,0,0,0,0,304
23,134,134,0,0,0,0,0,0,0,0,268
24,150,150,0,0,0,0,0,0,0,0,300
25,161,161,0,0,0,0,0,0,0,0,322
26,135,135,0,0,0,0,0,0,0,0,270
27,139,139,0,0,0,0,0,0,0,0,278
28,142,142,0,0,0,0,0,0,0,0,284
29,152,152,0,0,0,0,0,0,0,0,304
30,134,134,0,0,0,0,0,0,0,0,268
31,161,161,0,0,0,0,0,0,0,0,322
32,150,150,0,0,0,0,0,0,0,0,300
33,157,157,0,0,0,0,0,0,0,0,314
34,144,144,0,0,0,0,0,0,0,0,288
35,160,160,0,0,0,0,0,0,0,0,320
36,138,138,0,0,0,0,0,0,0,0,276
37,131,131,0,0,0,0,0,0,0,0,262
38,124,124,0,0,0,0,0,0,0,0,248
39,143,143,0,0,0,0,0,0,0,0,286
40,0,0,0,0,152,0,152,0,0,0,304
41,0,0,0,155,0,0,155,0,0,0,310
42,0,0,143,143,0,0,0,0,0,0,286
43,0,0,0,155,0,0,0,0,155,0,310
44,0,0,0,121,0,0,0,0,0,121,242
45,0,0,0,147,0,0,0,0,0,147,294
46,0,0,0,0,170,0,0,0,170,0,340
47,0,0,0,0,137,0,0,137,0,0,274
48,0,0,0,0,109,0,0,0,0,109,218
49,0,0,0,138,138,0,0,0,0,0,276
50,0,0,161,0,0,161,0,0,0,0,322
51,0,0,0,171,0,0,0,0,0,171,342
52,0,0,0,0,0,0,0,0,156,156,312
53,0,0,0,151,0,151,0,0,0,0,302
54,0,0,161,0,161,0,0,0,0,0,322
55,0,0,0,0,0,159,159,0,0,0,318
56,0,0,0,0,0,102,0,0,102,0,204
57,0,0,154,0,0,0,0,154,0,0,308
58,0,0,0,0,0,0,0,0,157,157,314
59,0,0,0,158,0,158,0,0,0,0,316
60,0,0,0,0,0,156,0,0,156,0,312
61,0,0,170,170,0,0,0,0,0,0,340
62,0,0,0,0,0,0,134,0,134,0,268
63,0,0,154,0,0,0,0,0,0,154,308
64,0,0,0,0,0,0,0,0,140,140,280
65,0,0,0,138,0,0,138,0,0,0,276
66,0,0,0,0,0,0,0,0,164,164,328
67,0,0,184,0,0,0,184,0,0,0,368
68,0,0,0,0,0,147,147,0,0,0,294
69,0,0,160,0,0,0,0,0,160,0,320
70,0,0,0,0,0,151,151,0,0,0,302
71,0,0,126,126,0,0,0,0,0,0,252
72,0,0,142,0,0,0,0,0,0,142,284
73,0,0,0,161,0,0,161,0,0,0,322
74,0,0,137,0,0,0,0,0,0,137,274
75,0,0,0,0,163,163,0,0,0,0,326
76,0,0,0,0,132,0,132,0,0,0,264
77,0,0,0,0,149,0,0,0,0,149,298
78,0,0,0,0,147,0,0,0,147,0,294
79,0,0,0,0,0,143,0,143,0,0,286
80,0,0,0,106,0,0,0,0,106,0,212
81,0,0,0,134,0,0,0,134,0,0,268
82,0,0,0,134,134,0,0,0,0,0,268
83,0,0,120,0,0,0,0,0,0,120,240
84,0,0,136,0,0,136,0,0,0,0,272
85,0,0,0,0,0,0,152,0,152,0,304
86,0,0,0,0,129,0,0,129,0,0,258
87,0,0,0,129,0,0,129,0,0,0,258
88,0,0,0,144,0,144,0,0,0,0,288
89,0,0,0,0,151,0,151,0,0,0,302
90,0,0,0,139,0,0,0,139,0,0,278
91,0,0,164,0,0,0,0,0,164,0,328
92,0,0,129,0,129,0,0,0,0,0,258
93,0,0,0,0,0,151,0,0,151,0,302
94,0,0,0,118,0,0,0,118,0,0,236
95,0,0,0,119,0,0,0,119,0,0,238
96,0,0,0,149,0,0,0,0,0,149,298
97,0,0,0,130,0,130,0,0,0,0,260
98,0,0,0,144,0,0,144,0,0,0,288
99,0,0,0,136,0,0,0,0,136,0,272
,5636,5636,2241,3516,2001,2052,2089,1073,2350,2016,28610
