,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,
0,0,100,200,0,0,200,0,100,0,0,600
1,0,100,100,0,100,100,0,0,200,0,600
2,0,100,100,200,100,0,0,0,0,0,500
3,0,300,0,0,0,0,100,0,100,100,600
4,0,0,0,100,100,0,100,0,0,100,400
5,100,100,0,0,100,0,0,0,0,100,400
6,0,0,0,0,0,0,0,200,0,200,400
7,0,0,0,200,400,100,0,0,100,0,800
8,100,0,0,100,0,100,100,0,200,100,700
9,0,0,200,0,0,0,0,100,0,200,500
10,0,100,0,100,100,0,0,100,100,0,500
11,0,0,100,200,200,0,0,0,0,100,600
12,0,0,0,0,100,0,0,200,100,0,400
13,100,0,23,77,200,200,100,100,0,0,800
14,0,200,0,0,0,100,100,100,0,0,500
15,100,0,100,0,0,0,0,100,0,100,400
16,0,100,0,100,200,100,0,0,51,49,600
17,100,0,300,0,0,0,100,0,200,0,700
18,0,0,0,0,100,0,0,200,100,0,400
19,0,100,0,0,0,100,0,200,0,0,400
20,0,0,0,0,100,100,100,200,0,100,600
21,200,0,100,100,0,0,0,100,300,0,800
22,0,100,0,200,0,100,200,0,100,100,800
23,100,0,100,0,200,200,0,0,0,0,600
24,0,0,100,0,0,100,100,0,100,0,400
25,0,100,100,0,100,100,0,200,0,0,600
26,0,100,0,200,0,0,0,0,200,100,600
27,0,0,100,200,0,100,100,0,0,200,700
28,0,300,200,0,0,0,0,0,200,0,700
29,100,0,100,0,0,0,100,0,0,100,400
30,100,0,200,0,100,0,0,200,0,100,700
31,0,200,0,0,100,0,0,0,100,0,400
32,100,0,0,100,200,0,0,0,100,200,700
33,100,100,100,0,0,0,0,100,0,100,500
34,100,100,100,100,0,0,100,100,0,0,600
35,0,0,100,100,0,0,0,100,100,0,400
36,100,100,0,0,0,0,200,100,100,0,600
37,100,100,100,0,0,0,0,200,100,100,700
38,0,0,0,200,0,100,0,0,100,0,400
39,0,100,100,100,100,0,0,100,100,100,700
40,0,200,100,100,0,100,0,0,100,100,700
41,0,100,0,0,0,300,0,0,0,0,400
42,0,100,100,100,0,0,200,100,0,0,600
43,100,100,100,100,0,0,300,100,0,0,800
44,100,100,0,100,100,0,0,100,100,200,800
45,100,0,100,0,200,100,0,100,100,0,700
46,0,0,0,200,0,100,100,100,0,100,600
47,0,0,0,0,300,0,100,100,100,100,700
48,0,100,0,0,0,300,0,0,200,0,600
49,300,0,0,100,100,100,0,100,0,100,800
50,0,100,300,0,300,0,100,0,0,0,800
51,200,0,0,0,0,100,200,0,0,0,500
52,0,200,200,0,0,0,200,0,100,100,800
53,0,100,0,100,0,100,0,0,100,0,400
54,0,100,0,100,0,0,100,0,100,0,400
55,100,0,100,0,200,0,100,100,100,0,700
56,300,0,0,0,0,0,0,0,200,100,600
57,100,100,0,100,100,0,100,100,0,100,700
58,100,200,0,0,0,0,100,100,0,0,500
59,100,0,0,0,0,217,183,0,100,100,700
60,0,200,0,100,0,0,0,100,0,0,400
61,0,100,200,0,100,0,100,0,100,100,700
62,100,0,200,0,0,100,0,0,0,0,400
63,200,0,0,0,100,100,200,0,100,100,800
64,200,100,0,0,0,0,0,0,100,100,500
65,0,0,100,100,200,0,100,100,100,100,800
66,0,100,100,100,0,0,100,0,0,100,500
67,100,0,200,0,96,4,135,165,0,100,800
68,0,300,0,100,0,0,0,0,100,100,600
69,0,0,0,100,100,200,0,0,0,0,400
70,23,177,100,100,0,0,0,200,0,100,700
71,100,0,0,100,100,0,200,0,100,100,700
72,0,100,100,0,300,100,0,0,100,0,700
73,100,0,100,100,0,100,200,200,0,0,800
74,0,100,0,100,100,0,100,100,100,0,600
75,0,100,0,100,0,100,0,0,100,0,400
76,0,100,100,100,200,100,0,0,0,0,600
77,0,100,200,100,100,0,0,0,100,100,700
78,200,100,0,100,0,100,100,0,100,0,700
79,0,200,0,0,0,0,0,100,0,100,400
80,100,0,100,0,0,200,0,100,0,200,700
81,100,0,100,100,0,100,200,0,100,0,700
82,200,0,100,0,0,0,100,0,0,100,500
83,100,100,0,100,100,200,100,0,0,0,700
84,0,0,100,100,0,100,100,200,0,200,800
85,0,100,0,0,0,100,100,100,100,0,500
86,0,100,100,100,200,100,0,100,100,0,800
87,100,0,0,200,0,0,0,100,0,0,400
88,0,0,0,154,46,0,0,0,200,0,400
89,0,0,0,200,100,0,200,200,0,100,800
90,100,0,0,100,0,0,100,100,0,0,400
91,100,0,100,0,0,100,0,0,0,200,500
92,200,0,100,100,0,0,100,100,0,200,800
93,200,100,0,100,0,100,0,0,100,200,800
94,200,100,0,0,0,0,100,100,0,200,700
95,200,100,0,100,0,200,100,100,0,0,800
96,0,165,135,0,100,100,0,0,0,0,500
97,100,0,0,0,0,0,100,300,100,100,700
98,100,0,0,100,0,0,100,0,0,100,400
99,100,200,100,0,0,0,0,0,0,0,400
