,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9,
0,100,300,0,0,100,0,0,0,0,200,700
1,100,0,100,0,0,0,100,100,0,100,500
2,100,0,0,0,0,100,100,100,0,100,500
3,0,100,0,200,100,0,0,100,0,100,600
4,100,0,100,0,100,0,0,0,100,100,500
5,0,0,0,0,0,100,100,0,100,200,500
6,100,0,0,0,0,200,100,100,100,0,600
7,100,100,100,100,100,100,100,0,100,0,800
8,0,200,0,200,0,0,0,0,0,0,400
9,0,100,0,100,100,200,0,0,0,0,500
10,100,100,100,200,0,100,0,0,0,0,600
11,23,77,100,0,200,0,100,0,100,200,800
12,0,0,0,100,100,100,100,100,0,0,500
13,0,0,0,0,196,104,0,100,0,100,500
14,100,0,100,0,100,0,0,100,0,200,600
15,0,100,23,177,0,100,100,200,100,0,800
16,100,100,0,0,100,100,200,0,0,100,700
17,0,0,100,200,200,100,0,0,0,100,700
18,100,100,100,200,100,0,0,0,100,100,800
19,0,100,0,100,0,0,200,0,100,0,500
20,100,100,0,0,100,0,0,0,300,0,600
21,100,0,100,100,0,100,100,100,100,0,700
22,100,0,0,200,100,0,0,0,0,100,500
23,0,200,0,0,0,100,100,0,200,0,600
24,200,0,100,0,0,0,0,0,200,0,500
25,0,100,100,200,0,0,100,0,100,0,600
26,0,100,0,100,0,100,0,100,0,0,400
27,0,100,300,200,0,0,0,100,100,0,800
28,0,0,0,0,300,0,100,0,0,0,400
29,0,100,100,0,200,100,100,100,0,100,800
30,0,100,100,0,100,200,100,100,100,0,800
31,100,100,0,0,0,100,0,0,200,100,600
32,0,200,100,100,100,0,100,100,0,100,800
33,100,300,0,100,0,100,100,100,0,0,800
34,0,100,0,0,0,100,0,100,200,100,600
35,0,200,100,200,200,100,0,0,0,0,800
36,100,0,100,0,0,100,100,100,0,0,500
37,0,0,300,0,100,0,0,0,100,0,500
38,100,100,0,0,100,100,100,100,0,0,600
39,0,0,100,0,0,100,100,0,0,100,400
40,100,100,0,54,46,0,0,0,100,0,400
41,0,0,200,0,0,0,100,300,200,0,800
42,0,200,0,200,0,100,0,100,0,100,700
43,100,0,300,0,0,0,0,100,100,0,600
44,0,100,0,0,100,0,100,0,0,200,500
45,0,100,0,0,100,0,0,100,0,100,400
46,0,200,0,0,0,0,200,100,100,100,700
47,0,0,0,0,100,100,200,100,100,0,600
48,100,0,100,100,0,0,0,0,0,100,400
49,0,100,0,100,100,0,100,200,51,149,800
50,0,0,0,200,100,0,0,200,200,100,800
51,0,200,100,0,100,100,0,0,200,100,800
52,0,200,100,100,0,0,0,100,200,0,700
53,200,100,0,100,0,100,100,0,100,0,700
54,200,100,100,0,0,17,83,100,0,0,600
55,0,100,0,0,200,0,100,0,100,0,500
56,0,0,100,0,0,0,200,200,0,0,500
57,100,0,100,0,100,0,0,100,0,0,400
58,0,0,0,0,0,200,300,100,100,100,800
59,200,0,100,0,0,0,0,0,200,100,600
60,100,0,100,100,100,0,200,200,0,0,800
61,100,0,100,100,100,0,200,100,100,0,800
62,100,100,0,0,100,100,0,300,0,0,700
63,0,100,100,0,200,200,0,100,0,100,800
64,200,100,0,100,0,0,100,0,100,100,700
65,100,0,100,200,100,200,0,0,0,100,800
66,200,100,0,0,100,100,0,100,0,0,600
67,0,100,100,0,0,100,0,0,300,0,600
68,0,0,0,200,0,0,200,0,100,200,700
69,300,0,0,100,0,0,0,0,100,0,500
70,100,0,0,100,100,0,0,0,100,100,500
71,100,0,200,200,0,100,0,0,100,0,700
72,0,100,100,0,0,100,200,100,0,100,700
73,0,0,100,0,0,100,100,0,0,200,500
74,0,0,100,200,200,100,0,0,100,100,800
75,100,100,0,100,100,0,200,100,0,100,800
76,0,100,100,100,100,200,0,0,0,0,600
77,0,0,0,100,100,100,0,300,0,200,800
78,200,100,0,100,0,0,0,0,0,100,500
79,200,100,100,0,100,0,100,100,100,0,800
80,0,0,100,0,100,100,100,100,0,200,700
81,0,0,0,100,200,100,100,0,0,0,500
82,200,100,100,100,0,0,0,0,0,300,800
83,0,0,0,100,100,0,0,300,100,0,600
84,0,100,100,0,0,100,0,0,200,0,500
85,300,100,100,0,0,0,100,0,0,200,800
86,100,0,100,100,0,0,0,100,0,100,500
87,0,0,0,0,0,0,135,65,100,100,400
88,200,0,100,100,100,100,0,0,100,0,700
89,0,200,300,0,0,0,0,100,0,0,600
90,0,0,0,100,100,0,0,100,0,100,400
91,0,100,100,100,0,0,0,100,0,100,500
92,0,265,35,100,0,100,100,100,0,0,700
93,100,100,0,0,0,100,100,100,0,0,500
94,100,0,0,0,100,100,0,100,0,0,400
95,100,0,100,0,0,100,200,0,0,100,600
96,0,0,100,0,0,0,0,0,0,0,100
97,0,0,0,0,0,0,0,0,100,0,100
98,0,100,0,0,0,0,0,0,0,0,100
99,100,0,0,0,0,0,0,0,0,0,100
,5923,6742,5958,6131,5842,5421,5918,6265,5851,5949,60000
